building_id,metric,model,MAE,MAPE,n_obs
Bull_education_Lydia,power_active_kw,seasonal_naive_168h,18.1325,10.9669,1744
Bull_education_Lyn,power_active_kw,hour_of_week_profile,5.6436,23.9035,1751
Bull_education_Lyn,power_active_kw,seasonal_naive_168h,6.1742,23.6697,1745
Bull_education_Magaret,power_active_kw,hour_of_week_profile,21.4834,31.4088,1750
Bull_education_Magaret,power_active_kw,seasonal_naive_168h,22.2995,30.8377,1743
Bull_education_Mario,power_active_kw,hour_of_week_profile,21.1738,18.3842,1751
Bull_education_Mario,power_active_kw,seasonal_naive_168h,20.796,19.6266,1745
Bull_education_Matilda,power_active_kw,hour_of_week_profile,26.9837,26.1355,1752
Bull_education_Matilda,power_active_kw,seasonal_naive_168h,34.1474,31.7982,1750
Bull_education_Mervin,power_active_kw,hour_of_week_profile,29.144,12.766,1751
Bull_education_Mervin,power_active_kw,seasonal_naive_168h,37.651,17.9454,1745
Bull_education_Miquel,power_active_kw,hour_of_week_profile,42.3185,17.9145,1751
Bull_education_Miquel,power_active_kw,seasonal_naive_168h,49.635,19.2955,1745
Bull_education_Miranda,power_active_kw,hour_of_week_profile,20.4553,8.9344,1751
Bull_education_Miranda,power_active_kw,seasonal_naive_168h,30.353,15.2867,1745
Bull_education_Myra,power_active_kw,hour_of_week_profile,13.7871,27.8992,1751
Bull_education_Myra,power_active_kw,seasonal_naive_168h,13.9736,27.4406,1745
Bull_education_Nichole,power_active_kw,hour_of_week_profile,22.387,8.027,1751
Bull_education_Nichole,power_active_kw,seasonal_naive_168h,30.9335,12.2161,1745
Bull_education_Nina,power_active_kw,hour_of_week_profile,24.6056,5.8744,1751
Bull_education_Nina,power_active_kw,seasonal_naive_168h,37.859,11.1374,1745
Bull_education_Nolan,power_active_kw,hour_of_week_profile,10.2061,13.6204,1751
Bull_education_Nolan,power_active_kw,seasonal_naive_168h,11.3272,16.1264,1745
Bull_education_Olive,power_active_kw,hour_of_week_profile,14.3865,17.8652,1751
Bull_education_Olive,power_active_kw,seasonal_naive_168h,19.1971,25.6197,1745
Bull_education_Pablo,power_active_kw,hour_of_week_profile,6.9218,14.6371,1751
Bull_education_Pablo,power_active_kw,seasonal_naive_168h,8.7496,19.8661,1745
Bull_education_Pamela,power_active_kw,hour_of_week_profile,21.3313,8.4215,1751
Bull_education_Pamela,power_active_kw,seasonal_naive_168h,26.8424,11.6957,1745
Bull_education_Patrina,power_active_kw,hour_of_week_profile,4.8544,21.3823,1751
Bull_education_Patrina,power_active_kw,seasonal_naive_168h,6.4834,30.3736,1744
Bull_education_Racheal,power_active_kw,hour_of_week_profile,55.4156,5.9706,1751
Bull_education_Racheal,power_active_kw,seasonal_naive_168h,83.1163,10.9152,1745
Bull_education_Reina,power_active_kw,hour_of_week_profile,17.7414,21.4652,1751
Bull_education_Reina,power_active_kw,seasonal_naive_168h,16.851,18.8213,1745
Bull_education_Reynaldo,power_active_kw,hour_of_week_profile,7.1815,15.3285,1751
Bull_education_Reynaldo,power_active_kw,seasonal_naive_168h,8.4002,19.6827,1744
Bull_education_Roland,power_active_kw,hour_of_week_profile,40.4704,15.6248,1750
Bull_education_Roland,power_active_kw,seasonal_naive_168h,46.7428,18.1523,1742
Bull_education_Roseann,power_active_kw,hour_of_week_profile,29.0063,8.5293,1750
Bull_education_Roseann,power_active_kw,seasonal_naive_168h,38.1433,12.4767,1744
Bull_education_Sebastian,power_active_kw,hour_of_week_profile,6.1097,12.8462,1751
Bull_education_Sebastian,power_active_kw,seasonal_naive_168h,7.7851,17.8328,1745
Bull_education_Shona,power_active_kw,hour_of_week_profile,15.6955,2.1702,1751
Bull_education_Shona,power_active_kw,seasonal_naive_168h,27.7891,8.9945,1745
Bull_education_Stewart,power_active_kw,hour_of_week_profile,19.0415,13.9252,1751
