building_id,metric,model_selected,MAE,CV(RMSE),cvrmse_seasonal_naive,delta_cvrmse_pct,med_ae
Bull_education_Roseann,cooling_kw,ridge_regression,141.1066,127.33,226.03,-43.66,78.3104
Bull_education_Roseann,power_active_kw,ridge_regression,26.0846,25.55,36.67,-30.32,12.1534
Bull_education_Sebastian,cooling_kw,ridge_regression,19.788,28.16,62.23,-54.75,14.9531
Bull_education_Sebastian,power_active_kw,ridge_regression,5.9345,28.32,38.35,-26.15,2.6936
Bull_education_Shona,power_active_kw,ridge_regression,15.3101,28.05,43.62,-35.69,2.3213
Bull_education_Stewart,cooling_kw,ridge_regression,84.0864,73.44,117.34,-37.41,67.3061
Bull_education_Stewart,power_active_kw,ridge_regression,12.9576,25.19,36.59,-31.16,6.9996
Bull_education_Summer,power_active_kw,ridge_regression,3.7848,21.0,30.71,-31.64,2.244
Bull_education_Tracey,cooling_kw,ridge_regression,85.1364,131.62,194.95,-32.48,50.6879
Bull_education_Tracey,power_active_kw,ridge_regression,35.9889,33.36,38.1,-12.43,24.982
Bull_education_Venita,cooling_kw,ridge_regression,12.2158,100.51,168.21,-40.25,7.1392
Bull_education_Venita,power_active_kw,ridge_regression,5.6524,27.94,36.47,-23.39,3.5637
Bull_education_Violeta,cooling_kw,ridge_regression,52.4995,134.47,200.78,-33.03,30.4642
Bull_education_Violeta,power_active_kw,ridge_regression,15.065,28.6,38.21,-25.15,7.3829
Bull_office_Anne,cooling_kw,ridge_regression,7.1401,19.27,37.71,-48.9,3.5091
Bull_office_Anne,power_active_kw,ridge_regression,2.1251,24.18,34.71,-30.33,0.7612
Bull_office_Chantel,cooling_kw,ridge_regression,45.9597,27.08,62.15,-56.44,37.9462
Bull_office_Chantel,power_active_kw,ridge_regression,26.1698,28.49,40.1,-28.95,14.75
Bull_office_Claudia,power_active_kw,ridge_regression,3.0408,21.83,33.16,-34.16,1.2667
Bull_office_Debbie,cooling_kw,ridge_regression,26.9647,63.71,122.44,-47.97,22.2787
Bull_office_Debbie,power_active_kw,ridge_regression,5.2087,32.0,40.97,-21.9,2.4056
Bull_office_Efren,cooling_kw,ridge_regression,45.8083,88.02,159.98,-44.98,22.0014
Bull_office_Efren,power_active_kw,ridge_regression,13.5979,140.57,185.21,-24.1,6.5955
Bull_office_Ella,power_active_kw,ridge_regression,14.3364,94.34,139.65,-32.44,4.6462
Bull_office_Hilton,power_active_kw,ridge_regression,0.8466,23.1,35.03,-34.06,0.4377
Bull_office_Ivette,power_active_kw,ridge_regression,3.8459,31.31,39.47,-20.67,2.7326
Bull_office_Lilla,cooling_kw,ridge_regression,75.4536,27.63,46.52,-40.61,56.6188
Bull_office_Lilla,power_active_kw,ridge_regression,49.192,25.86,36.4,-28.97,17.2637
Bull_office_Mai,cooling_kw,ridge_regression,1.4575,61.11,82.35,-25.8,0.799
Bull_office_Marco,power_active_kw,ridge_regression,9.2175,77.05,119.42,-35.48,5.3591
Bull_office_Myron,cooling_kw,ridge_regression,53.8278,198.11,289.56,-31.58,29.4351
Bull_office_Myron,power_active_kw,ridge_regression,7.6894,24.05,36.24,-33.65,3.8934
Bull_office_Nicolas,power_active_kw,ridge_regression,2.6927,27.35,35.5,-22.96,1.3549
Bull_office_Rob,cooling_kw,ridge_regression,99.926,65.55,114.26,-42.63,66.0988
Bull_office_Rob,power_active_kw,ridge_regression,34.7833,28.84,38.14,-24.38,12.3326
Bull_office_Sally,cooling_kw,ridge_regression,55.5623,107.42,161.82,-33.62,42.8461
Bull_office_Sally,power_active_kw,ridge_regression,23.3228,153.38,218.25,-29.72,8.9058
Bull_office_Trevor,cooling_kw,ridge_regression,14.0273,28.08,57.96,-51.55,10.2765
Bull_office_Trevor,power_active_kw,ridge_regression,8.1555,71.78,101.92,-29.57,1.9394
Bull_office_Yvonne,cooling_kw,ridge_regression,85.4351,152.39,233.75,-34.8,54.1558
Bull_office_Yvonne,power_active_kw,ridge_regression,21.7333,30.23,38.78,-22.05,5.8247
Cockatoo_education_Amira,power_active_kw,ridge_regression,5.0798,20.11,24.63,-18.34,3.2474
Cockatoo_education_Arlen,power_active_kw,ridge_regression,10.9863,25.92,28.95,-10.48,9.561
Cockatoo_education_Brendan,cooling_kw,ridge_regression,0.368,468.88,844.55,-44.48,0.3128
Cockatoo_education_Brendan,power_active_kw,ridge_regression,4.0572,8.21,10.03,-18.21,3.0497
Cockatoo_education_Brigitte,cooling_kw,ridge_regression,5.5306,62.17,120.15,-48.25,4.2279
Cockatoo_education_Brigitte,power_active_kw,ridge_regression,25.0811,5.03,5.81,-13.52,18.6393
Cockatoo_education_Charity,cooling_kw,ridge_regression,2.2543,33.61,54.94,-38.82,1.966
Cockatoo_education_Charity,power_active_kw,ridge_regression,10.3924,5.41,7.21,-24.99,7.802
Cockatoo_education_Christi,cooling_kw,ridge_regression,1.1887,71.81,116.42,-38.32,0.6448
Cockatoo_education_Claudine,power_active_kw,ridge_regression,2.2052,7.56,9.81,-22.98,1.5866
Cockatoo_education_Clifton,cooling_kw,ridge_regression,3.1606,128.74,247.01,-47.88,2.3056
Cockatoo_education_Clifton,power_active_kw,ridge_regression,0.055,5.64,7.27,-22.42,0.0403
Cockatoo_education_Collin,power_active_kw,ridge_regression,11.5791,6.37,7.8,-18.25,9.3815
