entity_id,detector,start,end,duration_h,peak_score,peak_ts,scope,type,group,matches_label
Bull_office_Lilla,profile_band_sustained,2017-11-20 11:00:00,2017-11-20 11:00:00,1,6.069802577993187,2017-11-20 16:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band,2017-11-24 05:00:00,2017-11-24 05:00:00,1,10.059547898479506,2017-11-24 05:00:00,point,after_hours,A,False
Bull_office_Lilla,profile_band,2017-11-24 10:00:00,2017-11-24 10:00:00,1,62.783229259589646,2017-11-24 10:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-11-24 10:00:00,2017-11-24 10:00:00,1,5.142545282543948,2017-11-24 15:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band,2017-11-28 13:00:00,2017-11-28 13:00:00,1,13.691629955947137,2017-11-28 13:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-11-28 13:00:00,2017-11-28 13:00:00,1,2.777103364067937,2017-11-28 18:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band_sustained,2017-12-06 14:00:00,2017-12-07 03:00:00,14,3.170473518603368,2017-12-07 01:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band,2017-12-07 01:00:00,2017-12-07 01:00:00,1,4.304461942257218,2017-12-07 01:00:00,point,after_hours,A,False
Bull_office_Lilla,profile_band,2017-12-07 10:00:00,2017-12-07 10:00:00,1,10.070671378091873,2017-12-07 10:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-12-07 10:00:00,2017-12-07 20:00:00,11,3.469417740472913,2017-12-07 15:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band_sustained+profile_band,2017-12-08 19:00:00,2017-12-09 07:00:00,13,4.551045510455104,2017-12-08 22:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band_sustained,2017-12-16 18:00:00,2017-12-16 23:00:00,6,2.8174498158925014,2017-12-16 23:00:00,interval,after_hours,A,False
Bull_office_Rob,profile_band,2017-01-16 19:00:00,2017-01-16 20:00:00,2,5.0626566416040095,2017-01-16 20:00:00,point,after_hours,A,False
Bull_office_Rob,profile_band_sustained,2017-01-22 19:00:00,2017-01-22 22:00:00,4,2.549121796960095,2017-01-22 22:00:00,interval,after_hours,A,False
Bull_office_Rob,profile_band,2017-01-22 21:00:00,2017-01-22 21:00:00,1,4.077669902912621,2017-01-22 21:00:00,point,after_hours,A,False
Bull_office_Rob,profile_band_sustained,2017-01-29 19:00:00,2017-01-29 22:00:00,4,3.1993238975389233,2017-01-29 22:00:00,interval,after_hours,A,False
Bull_office_Rob,profile_band,2017-01-29 20:00:00,2017-01-29 21:00:00,2,4.554455445544554,2017-01-29 20:00:00,point,after_hours,A,False
