event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00520,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,baseload_rise,warning,lgbm_cusum_night_residual,2017-05-10 00:00:00,2017-05-16 23:00:00,2017-05-16 04:00:00,168,44.074,33.709,30.75,,,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-03
LG-00521,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-05-10 09:00:00,2017-05-10 16:00:00,2017-05-10 11:00:00,8,93.687,62.031,51.03,6.79,253.2,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-03
LG-00522,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-05-12 07:00:00,2017-05-12 10:00:00,2017-05-12 09:00:00,4,82.561,54.091,52.63,4.26,113.9,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-03
LG-00523,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-05-13 04:00:00,2017-05-13 16:00:00,2017-05-13 06:00:00,13,52.943,36.262,46.0,6.91,216.9,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-03
LG-00524,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-05-14 02:00:00,2017-05-14 15:00:00,2017-05-14 04:00:00,14,52.216,34.086,53.19,5.81,253.8,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-03
LG-00525,DQ_quality,M1_power,Rat_office_Loyd,power_active_kw,data_loss,warning,dq_gap>=3h,2017-05-19 21:00:00,2017-05-20 11:00:00,2017-05-19 23:00:00,15,,,,,,,,1,true_positive,SYN-M1-05-04
LG-00526,DQ_quality,M1_power,Rat_office_Loyd,power_active_kw,stuck_sensor,warning,dq_flatline>=4h,2017-06-18 02:00:00,2017-06-18 18:00:00,2017-06-18 05:00:00,17,42.68,,,,,,,1,true_positive,SYN-M1-05-05
LG-00527,DQ_quality,M1_power,Rat_office_Loyd,power_active_kw,data_loss,warning,dq_gap>=3h,2017-06-27 00:00:00,2017-06-27 23:00:00,2017-06-27 02:00:00,24,,,,,,,,1,natural,
LG-00528,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-07-04 11:00:00,2017-07-04 11:00:00,2017-07-04 11:00:00,1,223.74,103.978,115.18,23.04,119.8,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-06
LG-00529,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,baseload_rise,warning,lgbm_cusum_night_residual,2017-08-02 00:00:00,2017-08-27 23:00:00,2017-08-18 04:00:00,624,50.623,39.542,28.02,,,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00530,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-05 02:00:00,2017-08-05 12:00:00,2017-08-05 04:00:00,11,48.584,33.654,44.36,8.96,164.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00531,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-06 22:00:00,2017-08-07 05:00:00,2017-08-07 00:00:00,8,73.022,49.399,47.82,6.93,189.0,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-07
